CAGDP2 Gross domestic product (GDP) by county 1
CAGDP2 Gross domestic product (GDP) by county 1
County
GeoFIPS,GeoName,LineCode,Description,2022,2023,2024
42007,"Beaver, PA",36,"    Transportation and warehousing",395641,405141,421698
42007,"Beaver, PA",45,"    Information",79104,68307,72270
42007,"Beaver, PA",50,"    Finance, insurance, real estate, rental, and leasing",1237527,1195730,1237686
42007,"Beaver, PA",51,"      Finance and insurance",171269,184108,194547
42007,"Beaver, PA",56,"      Real estate and rental and leasing",1066258,1011622,1043139
42007,"Beaver, PA",59,"    Professional and business services",509860,518184,559617
42007,"Beaver, PA",60,"      Professional, scientific, and technical services",270347,271664,287411
42007,"Beaver, PA",64,"      Management of companies and enterprises",59530,48936,51252
42007,"Beaver, PA",65,"      Administrative and support and waste management and remediation services",179982,197584,220954
42007,"Beaver, PA",68,"    Educational services, health care, and social assistance",708984,757311,792088
42007,"Beaver, PA",69,"      Educational services",52447,58286,66410
42007,"Beaver, PA",70,"      Health care and social assistance",656537,699024,725678
42007,"Beaver, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",214800,231279,241141
42007,"Beaver, PA",76,"      Arts, entertainment, and recreation",47248,46759,49459
42007,"Beaver, PA",79,"      Accommodation and food services",167552,184520,191682
42007,"Beaver, PA",82,"    Other services (except government and government enterprises)",166798,183418,197165
42007,"Beaver, PA",83,Government and government enterprises,661860,683256,706351
42007,"Beaver, PA",,Addenda:,,,
42007,"Beaver, PA",87,Natural resources and mining,159744,114163,84175
42007,"Beaver, PA",88,Trade,712556,763300,789665
42007,"Beaver, PA",89,Transportation and utilities,1327426,1393043,1366990
42007,"Beaver, PA",90,Manufacturing and information,1531832,1647680,1638487
42007,"Beaver, PA",91,Private goods-producing industries 2,2247602,2099255,2069530
42007,"Beaver, PA",92,Private services-providing industries 3,4957055,5110571,5256622
42009,"Bedford, PA",1,All industry total,1844948,1941005,2040603
42009,"Bedford, PA",2,"  Private industries",1670397,1758540,1850863
42009,"Bedford, PA",3,"    Agriculture, forestry, fishing and hunting",70421,17472,13030
42009,"Bedford, PA",6,"    Mining, quarrying, and oil and gas extraction",7704,8925,3392
42009,"Bedford, PA",10,"    Utilities",5804,5630,5985
42009,"Bedford, PA",11,"    Construction",142494,162691,176407
42009,"Bedford, PA",12,"    Manufacturing",350589,371649,413240
42009,"Bedford, PA",13,"      Durable goods manufacturing",290568,313552,347653
42009,"Bedford, PA",25,"      Nondurable goods manufacturing",60021,58097,65586
42009,"Bedford, PA",34,"    Wholesale trade",44998,46189,47827
42009,"Bedford, PA",35,"    Retail trade",164616,183161,193469
42009,"Bedford, PA",36,"    Transportation and warehousing",206560,226607,227266
42009,"Bedford, PA",45,"    Information",28648,30760,30735
42009,"Bedford, PA",50,"    Finance, insurance, real estate, rental, and leasing",293644,321404,327691
42009,"Bedford, PA",51,"      Finance and insurance",62687,69348,74554
42009,"Bedford, PA",56,"      Real estate and rental and leasing",230956,252056,253137
42009,"Bedford, PA",59,"    Professional and business services",89120,94906,98732
42009,"Bedford, PA",60,"      Professional, scientific, and technical services",31260,32514,34037
42009,"Bedford, PA",64,"      Management of companies and enterprises",8524,11571,13403
42009,"Bedford, PA",65,"      Administrative and support and waste management and remediation services",49336,50821,51292
42009,"Bedford, PA",68,"    Educational services, health care, and social assistance",127169,138527,152572
42009,"Bedford, PA",69,"      Educational services",(D),2373,(D)
42009,"Bedford, PA",70,"      Health care and social assistance",(D),136154,(D)
42009,"Bedford, PA",75,"    Arts, entertainment, recreation, accommodation, and food services",72852,80632,83842
42009,"Bedford, PA",76,"      Arts, entertainment, and recreation",5568,6386,6700
42009,"Bedford, PA",79,"      Accommodation and food services",67283,74246,77142
42009,"Bedford, PA",82,"    Other services (except government and government enterprises)",65781,69986,76676
42009,"Bedford, PA",83,Government and government enterprises,174551,182465,189740
42009,"Bedford, PA",,Addenda:,,,
42009,"Bedford, PA",87,Natural resources and mining,78124,26397,16422
42009,"Bedford, PA",88,Trade,209614,229350,241296
42009,"Bedford, PA",89,Transportation and utilities,212363,232237,233251
42009,"Bedford, PA",90,Manufacturing and information,379237,402409,443975
42009,"Bedford, PA",91,Private goods-producing industries 2,571207,560737,606069
42009,"Bedford, PA",92,Private services-providing industries 3,1099190,1197803,1244794
42011,"Berks, PA",1,All industry total,24056316,25397072,26580119
42011,"Berks, PA",2,"  Private industries",22088074,23343528,24408483
42011,"Berks, PA",3,"    Agriculture, forestry, fishing and hunting",382904,293790,314028
42011,"Berks, PA",6,"    Mining, quarrying, and oil and gas extraction",62834,70766,27989
42011,"Berks, PA",10,"    Utilities",426251,451976,436609
42011,"Berks, PA",11,"    Construction",1043883,1127008,1194917
42011,"Berks, PA",12,"    Manufacturing",3845148,4230201,4357118
42011,"Berks, PA",13,"      Durable goods manufacturing",2700310,2950911,3083609
42011,"Berks, PA",25,"      Nondurable goods manufacturing",1144839,1279290,1273509
42011,"Berks, PA",34,"    Wholesale trade",1279288,1384426,1385969
